Spanish,English
mandar mensajes, to send messages
leer un libro, to read a book
escuchar música, to listen to music
ir al cine, to go to the cinema
ir al teatro, to go to the theatre
ir a un concierto, to go to a concert
ir a la playa, to go to the beach
tocar el piano, to play the piano
tocar el violín, to play the violin
charlar, to chat(in person)
chatear, to chat(online)
cantar, to sing
bailar, to dance
hacer deporte, to do sport
esquiar,to ski
montar en biciclera, to ride a bike
pasear al perro, to walk the dog
hablar español, to speak Spanish
correr, to run
hacer ejercicio, to exercise
jugar al baloncesto, to play basketball
jugar al béisbol, to play baseball
jugar al fútbol, to play football
jugar al tenis, to play tennis
ir de compras, to go shopping
el centro comercial, the shopping center
levantar pesas, to lift weights
nadar, to swim
pasear, to walk
pescar, to fish
tomar el sol, to sunbathe
ver una película, to watch a movie
visitar un museo, to visit a museum
